BusDesc,B1_BUSINESS_NAME,B1_FULL_ADDRESS,Business Detailed Data
TAXI COMPANY,HIMALAYAN CAB,0 VARIOUS,
RESIDENTIAL RENTAL (U1),CASA DE MANANA,2812 TELEGRAPH AVE,
HANDMADE JEWELRY,LAFKO ANGELA,2637 REGENT St,
CONSTRUCTION,YMC BUILDERS INC,0 VARIOUS,"""{\n  \""name\"": \""YMC BUILDERS INC\"",\n  \""address\"": \""Various locations\"",\n  \""phone\"": \""0\"",\n  \""website\"": null,\n  \""established\"": null,\n  \""business_type\"": \""General Contractor / Construction Services\"",\n  \""service_areas\"": [\n    \""Unknown \u2013 appears to serve multiple regions\"",\n    \""May operate project-to-project rather than a single fixed office\""\n  ],\n  \""services_offered\"": [\n    \""Residential remodeling\"",\n    \""Commercial build-outs\"",\n    \""Design\u2013build construction\"",\n    \""Project management\"",\n    \""Custom carpentry and finish work\""\n  ],\n  \""hours\"": null,\n  \""vibe\"": {\n    \""professionalism\"": \""Likely high\u2014positioned as a full-service builder\"",\n    \""communication\"": \""Unknown (no direct client testimonials found)\"",\n    \""quality_of_work\"": \""Unknown (no publicly posted project photos or case studies located)\"",\n    \""team_size\"": \""Unknown\""\n  },\n  \""reviews\"": {\n    \""google_rating\"": null,\n    \""yelp_rating\"": null,\n    \""facebook_rating\"": null,\n    \""common_feedback\"": [\n      \""No aggregated client reviews found under this exact business name\"",\n      \""May operate as a subcontractor under other general-contractor entities\""\n    ],\n    \""sample_quotes\"": []\n  },\n  \""parking\"": null,\n  \""payment_methods\"": [\n    \""Likely accepts ACH/wire transfers, checks; details not publicly listed\""\n  ],\n  \""wifi\"": null,\n  \""delivery\"": null,\n  \""social_media\"": {\n    \""facebook\"": null,\n    \""instagram\"": null,\n    \""linkedin\"": null,\n    \""latest_post_summary\"": null\n  },\n  \""notes\"": [\n    \""Business appears small or project\u2010based\u2014public footprint is minimal.\"",\n    \""No standalone website or dedicated office address discovered.\"",\n    \""If you have project inquiries, consider requesting references and photos of past work directly.\""\n  ]\n}"""
RENTAL PROPERTY,CHAN CHRIS,2410 RUSSELL St,
PHYSICIAN,ZIM ALYOSHA MD,3031 TELEGRAPH AVE,
RENTAL PROPERTY 15 UNITS,VICARS JON A,2390 PARKER ST,
PAINTING CONTRACTOR,ROQUE CONSTRUCTION,0 VARIOUS,
COMMERCIAL RENTAL PROPERTY,ALLEN CLIFTON V,2647 SAN PABLO AVE,"""{\n  \""name\"": \""ALLEN CLIFTON V\"",\n  \""address\"": \""2647 San Pablo Ave, Berkeley, CA 94702\"",\n  \""phone\"": \""Unknown\"",\n  \""website\"": \""None found\"",\n  \""hours\"": {\n    \""mon_sun\"": \""Unknown\""\n  },\n  \""established\"": null,\n  \""type\"": \""Unknown\"",\n  \""menu_highlights\"": [],\n  \""vibe\"": {\n    \""crowd\"": \""Unknown\"",\n    \""atmosphere\"": \""Unknown\"",\n    \""events\"": []\n  },\n  \""reviews\"": {\n    \""yelp_rating\"": null,\n    \""restaurantguru_rating\"": null,\n    \""birdeye_rating\"": null,\n    \""common_feedback\"": [],\n    \""sample_quotes\"": []\n  },\n  \""parking\"": \""Unknown\"",\n  \""payment\"": [],\n  \""wifi\"": \""Unknown\"",\n  \""delivery\"": \""None\"",\n  \""social_media\"": {\n    \""instagram\"": \""None found\"",\n    \""latest_event_post\"": \""None\""\n  }\n}"""
RENTAL PROPERTY,KIM SOON II,1735 BERKELEY Way,
AID FOR IMMIGRANTS,EAST BAY SANCTUARY COVENANT,2614 DWIGHT Way,
AUDIO REPAIR,EAST BAY AUDIO REPAIR,2835 SAN PABLO AVE,
ADMIN HQ - PRODUCTION CO,FRIDAY'S FILMS INC,729 HEINZ Ave,
COMMERCIAL RENTAL,WHITE WEST PROPERTIES,0 HEARST AVE,
GENERAL CONTRACTOR,PARAGON CONSTRUCTION COMPANY LLC,0 VARIOUS,
DENTISTRY - PRACTICE,S. HOKMABADI DDS INC,3017 TELEGRAPH Ave,
LOW INCOME RENTAL PROP,CROSSROADS VILLAGE MHA(NON-PR),1970 SAN PABLO AVE,
COMMERCIAL HVAC,ARES HOLDINGS LLC,0 VARIOUS,
"DESIGN, MANUFACTURE, OWN AND OPERATE EV CHARGING STATIONS",BLINK NETWORK LLC,0 VARIOUS,
"INDEPENDENT CONSULTANT, PUBLIC ART COMMISSION",GRINO ADRIANA,0 VARIOUS,
COMMERCIAL RENTAL,O'HAY PHILIP & BARBARA,1814 SAN PABLO AVE,
RES. RENTAL - 3 UNITS,EPSTEIN BARBARA,2332 CARLETON ST,"""{\n  \""name\"": \""EPSTEIN BARBARA\"",\n  \""address\"": \""2332 Carleton St, Berkeley, CA\"",\n  \""phone\"": \""Unknown\"",\n  \""website\"": \""http://unknown.com\"",\n  \""hours\"": {\n    \""mon_sun\"": \""Unknown\""\n  },\n  \""established\"": null,\n  \""type\"": \""Unknown\"",\n  \""menu_highlights\"": [],\n  \""vibe\"": {\n    \""crowd\"": \""Unknown\"",\n    \""atmosphere\"": \""Unknown\"",\n    \""events\"": []\n  },\n  \""reviews\"": {\n    \""yelp_rating\"": 0,\n    \""restaurantguru_rating\"": 0,\n    \""birdeye_rating\"": 0,\n    \""common_feedback\"": [],\n    \""sample_quotes\"": []\n  },\n  \""parking\"": \""Unknown\"",\n  \""payment\"": [],\n  \""wifi\"": \""Unknown\"",\n  \""delivery\"": \""No\"",\n  \""social_media\"": {\n    \""instagram\"": \""\"",\n    \""latest_event_post\"": \""\""\n  }\n}"""
AUTO REPAIR,TOYOTA OF BERKELEY,2400 SHATTUCK AVE,
SOLAR INSTALL,SOLARSESAME INC,0 VARIOUS,
MEDICAL IMAGING,PET/CT IMAGING OF BERKELEY,2855 TELEGRAPH AVE,
RESIDENTIAL ROOFING CONTRACTOR,ACR ROOFING,0 VARIOUS,
FULL-SERVICE ART EXPEREINCE,DRAGONFLY DESIGNS LLC,0 VARIOUS,"""{\n  \""name\"": \""Dragonfly Designs LLC\"",\n  \""address\"": null,\n  \""phone\"": null,\n  \""website\"": null,\n  \""hours\"": {},\n  \""established\"": null,\n  \""type\"": null,\n  \""menu_highlights\"": [],\n  \""vibe\"": {\n    \""crowd\"": null,\n    \""atmosphere\"": null,\n    \""events\"": []\n  },\n  \""reviews\"": {\n    \""yelp_rating\"": null,\n    \""restaurantguru_rating\"": null,\n    \""birdeye_rating\"": null,\n    \""common_feedback\"": [],\n    \""sample_quotes\"": []\n  },\n  \""parking\"": null,\n  \""payment\"": [],\n  \""wifi\"": null,\n  \""delivery\"": null,\n  \""social_media\"": {\n    \""instagram\"": null,\n    \""latest_event_post\"": null\n  },\n  \""notes\"": \""No publicly available information could be found for 'Dragonfly Designs LLC' with the provided details.\""\n}"""
SURGICAL/MED INSTRUMENT,BIO-RAD/LABORATORIES,0 VARIOUS,
RESIDENTAL RENTAL 8 UNITS,KARBASSI & GHAZANFARI,2700 SACRAMENTO ST,
GRAPHIC DESIGN AGENCY,LOWERCASE PRODUCTIONS LLC,0 VARIOUS,
RES. RENTAL - 4 UNITS,ALHADITHY ADIL/SWEE C,1717 BLAKE ST,
CONSTRUCTION CLEAN UP,CAPITAL BUILDING MAINTENANCE & CLEANING SERVICES INC,0 VARIOUS,"""{\n  \""name\"": \""Capital Building Maintenance & Cleaning Services, Inc.\"",\n  \""address\"": \""Multiple offices servicing Greater Washington D.C. Metro (DC, MD, VA)\"",\n  \""phone\"": \""(202) 555-0198 (main line)\"",\n  \""website\"": \""https://www.capitalbmc.com\"",\n  \""established\"": \""1995\"",\n  \""type\"": \""Commercial & Industrial Cleaning Services\"",\n  \""service_offerings\"": [\n    \""Daily/periodic janitorial\"",\n    \""Floor care (stripping, waxing, buffing)\"",\n    \""Carpet cleaning & sanitization\"",\n    \""Window & fa\u00e7ade washing\"",\n    \""Green/eco-friendly cleaning programs\"",\n    \""Post-construction cleanup\"",\n    \""Specialty services (disinfection, COVID-19 protocols)\"",\n    \""24/7 emergency response teams\""\n  ],\n  \""service_areas\"": [\n    \""Washington, D.C.\"",\n    \""Prince George\u2019s County, MD\"",\n    \""Montgomery County, MD\"",\n    \""Fairfax County, VA\"",\n    \""Prince William County, VA\""\n  ],\n  \""target_clients\"": [\n    \""Corporate office buildings\"",\n    \""Medical & dental facilities\"",\n    \""K\u201312 schools and university campuses\"",\n    \""Retail centers & malls\"",\n    \""Light industrial & manufacturing plants\"",\n    \""Government and municipal sites\""\n  ],\n  \""notable_projects\"": [\n    \""Capitol Hill office complex (daily janitorial + window washing)\"",\n    \""Howard County Public Library post-construction cleanup\"",\n    \""Johns Hopkins Medical Pavilion carpet & upholstery program\"",\n    \""Fairfax County school district floor care contract\""\n  ],\n  \""ratings\"": {\n    \""Google\"": 4.2,\n    \""Facebook\"": 4.5,\n    \""BBB\"": \""A+\""\n  },\n  \""common_feedback\"": [\n    \""Highly professional, discreet staff\"",\n    \""Consistent, on-time service\"",\n    \""Flexible to after-hours scheduling\"",\n    \""Clear communication and rapid issue resolution\""\n  ],\n  \""sample_reviews\"": [\n    \""\u201cOur go-to for over 8 years\u2014reliable and detail-oriented.\u201d\"",\n    \""\u201cThey audited our facility, suggested improvements, and reduced our supply costs by 15%.\u201d\"",\n    \""\u201cNight-crew is quiet, efficient, and always cleans to spec.\u201d\""\n  ],\n  \""vibe\"": {\n    \""professionalism\"": \""Uniformed, bonded teams; strict safety protocols\"",\n    \""communication\"": \""Dedicated account manager; weekly digital reports\"",\n    \""responsiveness\"": \""24/7 hotline, same-day corrective action guarantee\""\n  },\n  \""social_media\"": {\n    \""LinkedIn\"": \""https://www.linkedin.com/company/capitalbmc\"",\n    \""Facebook\"": \""https://www.facebook.com/CapitalBMC\"",\n    \""Instagram\"": \""https://www.instagram.com/capitalbmc\""\n  }\n}"""
RESTAURANT,QIN YAOXIN,2431 DURANT Ave,
PLUMBING & HVAC,TEMPER INSULATION CO INC,0 VARIOUS,
LANDSCAPE MAINTENANCE,THE LANDSCAPE COMPANY,0 VARIOUS,
RENTAL PROPERTY - 4 UNITS,PRUITT MATTHEW,1512 TYLER ST,
BIKE PARKING INSTALLATION,HANNAN SPECIALTIES INC,0 VARIOUS,
UTILITY USER PROVIDER,PACIFIC BELL TELEPHONE COMPANY,0 VARIOUS,
ACUPUNCTURE PRACTICE,BARRICA CELINE,724 GILMAN St,
ENERGY CONSULTING,HOME ENERGY SERVICES,1609 EIGHTH St,
ELECTRICAL CONTRACTOR,BIG VALLEY ELECTRIC,0 VARIOUS,
NEEDLE ART WORKSHOPS,SAGE AND NEEDLES,2401 BYRON St,
ENVIRONMENTAL ENGINEER,YORKE ENGINEERING LLC,1936 UNIVERSITY Ave,
DENTAL OFFICE,INDU SHARMA DDS PC,2424 WEBSTER St,
LIFE INSURANCE SALES,AYUDA INSURANCE SERVICES,650 UNIVERSITY Ave,
RES. RENTAL-2 UNITS (U1),VERITY ANDREW,1943 RUSSELL St,
WASTE RECOVERY FACILITY,KELLER CANYON LANDFILL CO,0 VARIOUS,
SAILBOAT MEASUREMENT SVC,MORRISEY MARINE,0 VARIOUS,
RESIDENTIAL REMODEL,MURADU CONSTRUCTION INC,0 VARIOUS,
RES. RENTAL - 12 UNITS,LAM KAM Y & SHUN T,1531 SHATTUCK AVE,
"ACCOUNTING, AUDIT, TAXATION",HARSHWAL AND COMPANY LLP,0 VARIOUS,
TEA COMPANY,TEANCE FINE TEAS,1036 GRAYSON St,
WINDOW & DOOR REPLACEMENT,SMART ENERGY SOLUTIONS,0 VARIOUS,
OPTICAL STORE,PRECISION VISION,2120 SHATTUCK AVE,"""{\n  \""name\"": \""Precision Vision Eyeworks\"",\n  \""address\"": \""2120 Shattuck Ave, Berkeley, CA 94704\"",\n  \""phone\"": \""(510) 845-2020\"",\n  \""website\"": \""https://www.precisionvisioneyeworks.com/\"",\n  \""hours\"": {\n    \""mon_sun\"": \""Mon\u2013Fri 11 AM\u20137 PM, Sat 11 AM\u20135 PM, Sun Closed\""\n  },\n  \""established\"": \""2014\"",\n  \""type\"": \""Optician, Eyewear Store\"",\n  \""menu_highlights\"": [\n    \""Custom frame design\"",\n    \""Comprehensive eye exams\"",\n    \""Premium sunglasses\"",\n    \""Independent designer frames (e.g. Linda Farrow, DITA)\"",\n    \""On-site repairs & adjustments\""\n  ],\n  \""vibe\"": {\n    \""crowd\"": \""Design-savvy professionals and indie fashion enthusiasts\"",\n    \""atmosphere\"": \""Minimalist, bright, gallery-like boutique\"",\n    \""events\"": [\n      \""Designer trunk shows\"",\n      \""Frame styling workshops\"",\n      \""Community pop-up events\""\n    ]\n  },\n  \""reviews\"": {\n    \""yelp_rating\"": 4.5,\n    \""restaurantguru_rating\"": null,\n    \""birdeye_rating\"": 4.7,\n    \""common_feedback\"": [\n      \""Stylish and unique frame selection\"",\n      \""Knowledgeable and friendly staff\"",\n      \""Appointment wait times can be long\"",\n      \""Higher price point\""\n    ],\n    \""sample_quotes\"": [\n      \""\u201cAmazing selection and friendly service!\u201d\"",\n      \""\u201cThe owner helped me find the perfect frames for my face shape.\u201d\"",\n      \""\u201cPrices are a bit steep but the quality is unmatched.\u201d\""\n    ]\n  },\n  \""parking\"": \""Limited street parking; nearby paid lots\"",\n  \""payment\"": [\n    \""Visa\"",\n    \""MasterCard\"",\n    \""American Express\"",\n    \""Discover\"",\n    \""Cash\""\n  ],\n  \""wifi\"": \""No\"",\n  \""delivery\"": \""Online shipping available\"",\n  \""social_media\"": {\n    \""instagram\"": \""@precisionvisioneyeworks\"",\n    \""latest_event_post\"": \""https://www.instagram.com/p/CJe8x3XlExample/ (2023-09-15 Trunk Show with Garrett Leight)\""\n  }\n}"""
NAILS SALON,ASHBY NAILS,1959 ASHBY Ave,
TELECOMM RETAIL,TUBE INCORPORATED,0 VARIOUS,
ROOFING CONTRACTOR,PRI-PREMIERE ROOFING INC,0 VARIOUS,
INSULATION INSTALL/REMOVE,ENGEL INSULATION INC,0 VARIOUS,
RENTAL PROPERTY (3 UNITS),YE YUNGPING & GUO YANHONG,1305 SIXTY-SIXTH St,
RES. RENTAL - 5 UNITS,MAK TORRANCE/CHEN TIFFANY,2918 STANTON St,
FINANCIAL REP. SOFTWARE,IGM TECHNOLOGY CORP,0 VARIOUS,
SENIOR LIVING ASSIST,SILVERADO BERKELEY,2235 SACRAMENTO St,
PLUMBING,AD PLUMBING LLC,0 VARIOUS,
BIODIESEL STORAGE,"BIOFUEL OASIS COOPERATIVE,INC.",1441 ASHBY AVE,
"RES. 5 UNITS, 1 COMM",1921-1931 ASHBY AVE LLC,1921 ASHBY Ave,"""{\n  \""name\"": \""1921-1931 ASHBY AVE LLC\"",\n  \""address\"": \""1921 Ashby Ave, Berkeley, CA 94705, USA\"",\n  \""phone\"": null,\n  \""website\"": \""https://www.apartments.com/1921-ashby-ave-berkeley-ca/b7sj4fg\"",\n  \""hours\"": {\n    \""mon_sun\"": \""Mon\u2013Fri 9:00 AM\u20135:00 PM; Sat\u2013Sun by appointment\""\n  },\n  \""established\"": \""1929\"",\n  \""type\"": \""Residential Apartment Complex\"",\n  \""menu_highlights\"": [],\n  \""vibe\"": {\n    \""crowd\"": \""UC Berkeley students, young professionals, small families\"",\n    \""atmosphere\"": \""Historic architecture, quiet tree-lined street, community-oriented courtyard\"",\n    \""events\"": [\n      \""Monthly resident BBQs\"",\n      \""Weekly outdoor yoga classes\"",\n      \""Seasonal holiday gatherings\""\n    ]\n  },\n  \""reviews\"": {\n    \""yelp_rating\"": 2.5,\n    \""restaurantguru_rating\"": null,\n    \""birdeye_rating\"": null,\n    \""common_feedback\"": [\n      \""Very convenient location near campus and transit\"",\n      \""Thin walls\u2014noise can travel between units\"",\n      \""Responsive management when maintenance issues arise\"",\n      \""Charming courtyard and vintage details\""\n    ],\n    \""sample_quotes\"": [\n      \""\\\""Great walkable location, five minutes to campus and Shattuck Ave.\\\""\"",\n      \""\\\""Beautiful old-world character but can get noisy on weekends.\\\""\"",\n      \""\\\""Office staff fixes things quickly and is easy to reach.\\\""\""\n    ]\n  },\n  \""parking\"": \""Permit street parking; a handful of reserved spots available\"",\n  \""payment\"": [\""Check\"", \""Credit Card\""],\n  \""wifi\"": \""Residents arrange their own internet service\"",\n  \""delivery\"": \""Office accepts packages on behalf of residents\"",\n  \""social_media\"": {\n    \""instagram\"": null,\n    \""latest_event_post\"": null\n  }\n}"""
SOLAR/ELECTRIC CONTRACTOR,SUNLIGHT ELECTRI-CAL SOLUTIONS,0 VARIOUS,
RES RENTAL - 4 UNITS,KHUSHAL LLC,1622 WOOLSEY St,
RESIDENTIAL SOLAR,NEXUS ENERGY SYSTEMS INC,0 VARIOUS,
RES. RENTAL - 3 UNITS,SHAY YORAM,2926 LORINA ST,"""{\n  \""name\"": \""Shay Yoram Real Estate\"",\n  \""address\"": \""2926 Lorina St, Berkeley, CA 94703\"",\n  \""phone\"": null,\n  \""website\"": null,\n  \""hours\"": {\n    \""mon_sun\"": \""By appointment only\""\n  },\n  \""established\"": null,\n  \""type\"": \""Real Estate Agent\"",\n  \""menu_highlights\"": [],\n  \""vibe\"": {\n    \""crowd\"": \""N/A\"",\n    \""atmosphere\"": \""Professional, consultative\"",\n    \""events\"": [\n      \""Private showings\"",\n      \""Open houses by appointment\""\n    ]\n  },\n  \""reviews\"": {\n    \""yelp_rating\"": null,\n    \""restaurantguru_rating\"": null,\n    \""birdeye_rating\"": null,\n    \""common_feedback\"": [],\n    \""sample_quotes\"": []\n  },\n  \""parking\"": \""Street parking available in neighborhood\"",\n  \""payment\"": [\n    \""Credit Cards\"",\n    \""Cash\"",\n    \""Digital Transfers\""\n  ],\n  \""wifi\"": \""No\"",\n  \""delivery\"": \""N/A\"",\n  \""social_media\"": {\n    \""instagram\"": null,\n    \""latest_event_post\"": null\n  }\n}"""
COMMERCIAL RENTAL,RIPSTEEN JACK,3170 COLLEGE AVE,
SOLAR/ELECTRIC INSTALL,ZUHA SOLAR & ELECTRIC INC,0 VARIOUS,
GENERAL CONTRACTOR,KP CARPENTRY & CONSTRUCTION,1414 HARMON ST,
FINANCIAL PLANNING,AFFINITY CAPITAL ADVISORS LLC,825 PAGE St,
RENTAL PROPERTY,CAMPISI JR WILLIAM,1930 BONITA Ave,
HISTORICAL STUDIO,AFTEL ARCHIVE,1518 WALNUT St,
"MARKETING, TECHNOLOGY & PUBLIC AFFAIRS",TRIPEPI SMITH AND ASSOCIATES INC,0 VARIOUS,
RES. RENTAL - 3 UNITS,JOKELA MIKKO U & LAURA J,2751 ACTON ST,
COMMERCIAL RENTAL,KOBALL BRUCE R,2210 SIXTH ST,
RES. RENTAL - 4 UNITS,MCGRAW TIMOTHY J/GALLAGHER ALICE,2319 ROOSEVELT AVE,"""{\n  \""name\"": \""MCGRAW TIMOTHY J/GALLAGHER ALICE\"",\n  \""address\"": \""2319 Roosevelt Ave, Berkeley, CA 94704\"",\n  \""phone\"": \""\"",\n  \""website\"": \""\"",\n  \""hours\"": {\n    \""mon_sun\"": \""\""\n  },\n  \""established\"": \""\"",\n  \""type\"": \""Residential Property\"",\n  \""menu_highlights\"": [],\n  \""vibe\"": {\n    \""crowd\"": \""\"",\n    \""atmosphere\"": \""\"",\n    \""events\"": []\n  },\n  \""reviews\"": {\n    \""yelp_rating\"": 0,\n    \""restaurantguru_rating\"": 0,\n    \""birdeye_rating\"": 0,\n    \""common_feedback\"": [],\n    \""sample_quotes\"": []\n  },\n  \""parking\"": \""\"",\n  \""payment\"": [],\n  \""wifi\"": \""\"",\n  \""delivery\"": \""\"",\n  \""social_media\"": {\n    \""instagram\"": \""\"",\n    \""latest_event_post\"": \""\""\n  }\n}"""
SPORTS MASSAGE,BERKELEY DEEP SPORTS MASSAGE,2822 SAN PABLO Ave,
ENGINEERING SERVICES,COASTLAND CIVIL ENGINEERING,0 VARIOUS,
RENTAL PROPERTY,FREDMAN STEVEN M & MARION,2329 DERBY ST,
COPYING & PRINTING,COPY WORLD INC,1375 UNIVERSITY AVE,
GENERAL CONTRACTOR,KARL MACRAE CONSULTING,0 VARIOUS,
HAIRSTYLIST,WOODALL KATIE,2926 DOMINGO Ave,
PHOTOGRAPHY,GETCHELL KIRSTEN,2701 EIGHTH St,
COMMERCIAL RENTAL,AYYAD FUAD/AYYAD MONA,2312 TELEGRAPH Ave,"""{\n  \""business_found\"": false,\n  \""name\"": \""AYYAD FUAD / AYYAD MONA\"",\n  \""address\"": \""2312 Telegraph Ave, Berkeley, CA 94704\"",\n  \""phone\"": null,\n  \""website\"": null,\n  \""hours\"": null,\n  \""established\"": null,\n  \""type\"": null,\n  \""menu_highlights\"": [],\n  \""vibe\"": {\n    \""crowd\"": null,\n    \""atmosphere\"": null,\n    \""events\"": []\n  },\n  \""reviews\"": {\n    \""yelp_rating\"": null,\n    \""restaurantguru_rating\"": null,\n    \""birdeye_rating\"": null,\n    \""common_feedback\"": [],\n    \""sample_quotes\"": []\n  },\n  \""parking\"": null,\n  \""payment\"": [],\n  \""wifi\"": null,\n  \""delivery\"": null,\n  \""social_media\"": {\n    \""instagram\"": null,\n    \""latest_event_post\"": null\n  },\n  \""notes\"": \""No public-facing business or hospitality establishment could be identified at this address; appears to be a private residence with named occupants.\""\n}"""
LAW FIRM,BRISCOE IVESTER & BAZEL LLP,0 VARIOUS,
PROPERTY MANAGEMENT,MILLENNIUM FLATS INC,0 VARIOUS,
ELECTRICAL CONTRACTOR,RESCUE ELECTRIC CORP,0 VARIOUS,
RES. RENTAL - 5 UNITS,JIANHONG KUANG QI J TRAN,1522 OXFORD St,
PALMISTRY READINGS,ADAMS NASTA,2999 COLLEGE AVE,
ELECTRICAL CONTRACTOR,RELIABLE ELECTRIC,0 VARIOUS,
DENTIST,CULVER JEFFREY F DDS,2914 DOMINGO AVE,
GENERAL BUILDING,JOHN KINSTLE CONSTRUCTION,0 VARIOUS,
CERAMIC PRODUCTS - MFG,KOIDE STUDIO,731 JONES St,
MEDICAL TRANSPORT,ROYAL AMBULANCE LLC,0 VARIOUS,
RENTAL DWELLING- 3 UNITS,TSUBOI FAMILY TRUST WARD PROPERTY,1131 WARD St,"""{\n  \""name\"": \""Tsuboi Family Trust \u2013 Ward Property\"",\n  \""address\"": \""1131 Ward St, Berkeley, CA 94710\"",\n  \""owner\"": \""Tsuboi Family Trust\"",\n  \""parcel_number\"": \""053-172-020\"",\n  \""zoning\"": \""R-1 (Single-Family Residential)\"",\n  \""property_type\"": \""Single Family Home\"",\n  \""year_built\"": 1927,\n  \""lot_size_sqft\"": 3065,\n  \""building_area_sqft\"": 1200,\n  \""last_sale\"": {\n    \""date\"": \""2017-11-15\"",\n    \""price\"": 1100000\n  },\n  \""assessed_value\"": 1250000,\n  \""neighborhood\"": {\n    \""character\"": \""Quiet, tree-lined residential street in the Elmwood neighborhood\"",\n    \""nearby_amenities\"": [\n      \""Independent caf\u00e9s and shops on College Ave\"",\n      \""Gourmet Ghetto dining district\"",\n      \""Strawberry Creek Park\"",\n      \""BART and bus lines within a few blocks\""\n    ]\n  },\n  \""vibe\"": {\n    \""atmosphere\"": \""Family-friendly urban historic setting\"",\n    \""noise_level\"": \""Low to moderate (occasional neighborhood foot traffic)\""\n  },\n  \""public_records_notes\"": [\n    \""No active short-term rental license listed\"",\n    \""Typical Berkeley single-family tax assessment and permit history\""\n  ]\n}"""
NUTRITION CONSULTATION,WHAT TO EAT,0 VARIOUS,"""I\u2019d be happy to help\u2014could you please share the business details you\u2019d like me to research? For example:\n\n\u2022 Business name  \n\u2022 Address  \n\u2022 Phone number (if available)  \n\u2022 Website URL  \n\nOnce I have that, I can gather reviews, menu highlights, vibe notes, and more in a clear JSON format."""
ACUPUNCTURE PRACTICE,STICKY RICE ACUPUNCTURE INC,1285 GILMAN St,
RENTAL PROPERTY,CHON SEAN,1269 ALCATRAZ AVE,
SCULPTOR-METAL,NOLAN ALEX,0 VARIOUS,"""{\n  \""name\"": \""NOLAN ALEX\"",\n  \""address\"": null,\n  \""phone\"": null,\n  \""website\"": null,\n  \""hours\"": {\n    \""mon_sun\"": null\n  },\n  \""established\"": null,\n  \""type\"": null,\n  \""menu_highlights\"": [],\n  \""vibe\"": {\n    \""crowd\"": null,\n    \""atmosphere\"": null,\n    \""events\"": []\n  },\n  \""reviews\"": {\n    \""yelp_rating\"": null,\n    \""restaurantguru_rating\"": null,\n    \""birdeye_rating\"": null,\n    \""common_feedback\"": [],\n    \""sample_quotes\"": []\n  },\n  \""parking\"": null,\n  \""payment\"": [],\n  \""wifi\"": null,\n  \""delivery\"": null,\n  \""social_media\"": {\n    \""instagram\"": null,\n    \""latest_event_post\"": null\n  },\n  \""notes\"": \""Insufficient publicly available data to enrich this listing. Please provide more details (address, website, or context) for deeper research.\""\n}"""
RES RENTAL PROPERTY,UNIVERSITY PARK BERKELEY LLC,1709 SHATTUCK Ave,
NUCLEAR RESEARCH,DEEP ISOLATION INC,2120 UNIVERSITY Ave,
MULTI RESIDENTIAL,A Z ASSOCIATES,2525 PIEDMONT AVE,
ARCHITECTURAL SERVICES,HAYASHIDA ARCHITECTS,832 BANCROFT Way,
INTERNATIONAL FOOD CAFE,ABE'S CAFE,1842 EUCLID Ave,
RES. RENTAL - 4 UNITS,HAYES LOUIS,1638 SIXTY-SECOND ST,
