BusDesc,B1_BUSINESS_NAME,B1_FULL_ADDRESS,Business Detailed Data
LUGGAGE & TRAVEL ACCS,HUNDAL SATBIR,2221 SHATTUCK Ave,
GENERAL CONSTRUCTION,MAYAN CONSTRUCTION,0 VARIOUS,
"HVAC REPAIR,INSTALL,MAINTENANCE",EAST BAY HEATING AND COOLING INC,0 VARIOUS,
RENTAL PROPERTY/8 UNITS,MANOUCH,2552 SACRAMENTO ST,
GENERAL CONTRACTOR,YOUNG & BURTON INC,0 VARIOUS,
ELECTRICAL CONTRACTOR,SFC ELECTRIC CO,0 VARIOUS,
FOUNDATIONAL/GENERAL CONTRACTOR,GROUNDWORKS CALIFORNIA LLC,0 VARIOUS,
NEW CONSTRUCTION PLUMBING,HOUSTON PLUMBING,0 VARIOUS,
HIGHSCHOOL-SPECIAL NEEDS,BAY AREA EDUCATIONAL INSTITUTE,1940 VIRGINIA St,
ELECTRICAL CONTRACTOR,BLUE LINE ELECTRIC,0 VARIOUS,
RES. RENTAL - 3 UNITS,FULTON 2923 LLC,2923 FULTON St,
PSYCHOTHERAPY,LEVIS LEONARD A,1806 M L KING JR WAY,
ELECTRICAL CONTRACTOR,BOCKMON & WOODY ELECTRIC CO INC,0 VARIOUS,
CAREGIVING AGENCY,FIJIAN ANGELS HOMECARE,2627 BENVENUE Ave,
TEA BEVERAGE,FORTUNE JOURNEY LLC,2516 BANCROFT Way,
AUDIO/VIDEO SERVICES,ABINSAY EDWARD,1369 BERKELEY WAY,
PROPERTY MANAGER,ZENSAY HILL PROPERTY MANAGEMENT ZHPM LLC,725 VIRGINIA St,
SHOWER DOOR INSTALLATION,A COSTA SHOWER DOORS INC,0 VARIOUS,
COMMERCIAL RENTAL,JKF TRUST,2375 TELEGRAPH AVE,
ELECTRICAL CONTRACTOR,ENTERPRISES COMMUNICATION LLC,1048 MURRAY St,
FURNITURE DEALER,BERKELEY OFFICE INTERIORS,1904 TENTH ST,
"BAGELS, DRINKS, COFFEE",BERKELEY BAGELS,1281 GILMAN St,
PSYCHOTHERAPHY COUNSELING,BRAND SUSAN,1530 FIFTH ST,
RES. RENTAL - 3 UNITS,MCSWEENEY JUANITA,1710 LINCOLN ST,
MENTAL HEALTH PRACTICE OFFICES,ALBANI GROUP FAMILY AND CHILD THERAPY INC,2140 SHATTUCK Ave,
COMMERCIAL 1 CONDO,BALAZS SANTIAGO LEON,908 ENSENADA AVE,
"HAIRSTYLIST, BOOTH RENTAL",NINO JULIA,1887 SOLANO Ave,
"CRYSTALS, FOSSILS, JEWEL",TASHI TENZIN,2018 UNIVERSITY Ave,
RENTAL PROPERTY/5 UNITS,MACMANUS WILFY S,3042 TELEGRAPH AVE,
COMMERCIAL RENTAL,CHOW MARY,1597 SOLANO AVE,
R&D - AGRICULTURE TECH.,SOUND AGRICULTURE COMPANY,3100 SAN PABLO Ave,
DENTAL OFFICE,RICHARD C EVANGELISTA DDS INC,2999 REGENT ST,
CONTRACTOR,TEAM GHILOTTI INC,0 VARIOUS,
ELECTRICAL CONTRACTOR,LG ELECTRIC,0 VARIOUS,
CONVENIENCE STORE,FRIENDLY MARKET,127 BERKELEY Sq,
RES. RENTAL (U1),ESLAMI A ALI,2161 DWIGHT Way,
MANAGEMENT CONSULTING,ESSENTIAL BUSINESS BEHAVIORS COACHING AND CONSULTING,1610 BELVEDERE Ave,
RES. RENTAL - 4 UNITS,MISH M E & WRIGHT M E,2304 ROOSEVELT AVE,
GENERAL CONTRACTOR,KOBBAN CONTRACTING & BUILDING,1626 CORNELL Ave,
YOGA/MASSAGE SPA,NANG SIDA THAI YOGA MASSAGE,2124 DWIGHT Way,
RENTAL PROPERTY,12 PANORAMIC LLC,12 PANORAMIC Way,
THEATER PROMOTERS,BILL GRAHAM PRESENTS,0 VARIOUS,
ELECTRIC,RODRIGUEZ A ELECTRIC,0 VARIOUS,
ARCHITECTURAL DESIGN SVC,TECTA ASSOCIATES,0 VARIOUS,
GLASS & GLAZE CONTRACTOR,U S GLASS & ALUMINUM INC,0 VARIOUS,
HOUSING DEVELOPER,RESOURCES FOR COMMUNITY DEV,2220 OXFORD ST,
RES. RENTAL - 8 UNITS,NANCY PROWITT,2235 ASHBY Ave,
GENERAL CONTRACTOR,WESTBRAE CONSTRUCTION,1316 ORDWAY ST,
"TUTORING, ACADEMIC",BAUGHMAN KAREN,2576 SHATTUCK AVE,
RES. RENTAL - 4 UNITS,CURTIS CAROL L,2029 HEARST AVE,
GEN CONTRACTOR-REMODEL,LB CONSTRUCTION & REMODELING,0 VARIOUS,
COMMERCIAL RENTAL,GORDON JOHN/MITCHELL JANIS,2089 ROSE ST,
MULTI RESIDENTIAL (5),YEN SHIRLEY,2013 LINCOLN ST,
SOFTWARE DEVELOPMENT,CAMBRIAN LABS LLC,511 BOYNTON Ave,
INDEPENDENT PERFORMER,ARMENTROUT MARY,23 HILLSIDE CT,
"CONSULTANT, PARKING",WALKER PARKING CONSULTANTS,0 VARIOUS,
"LIFT, ELEVATOR INSTALL",ROLLIN' ALONG INC,0 VARIOUS,
WINDOW COVERING INSTALL,CUTTING EDGE DRAPERY,0 VARIOUS,
ELECTRICAL CONTRACTOR,CASTLE ELECTRIC,0 VARIOUS,
REAL RENTAL PROPERTY,TOJI GARY & KIMIKO,1252 HOPKINS ST,
RENTAL PROPERTY 8 UNITS,MACMILLAN LOU,1545 HOPKINS ST,
CHARTER BOAT - SCATTER CREMATED REMAINS,LANDMARK SCATTERING INC,201 UNIVERSITY Ave,
EXECUTIVE/LIFE COACHING,SHAYNA GELENDER CONSULTING LLC,1702 ARCH St,
TELECOMMUNICATIONS,GOOGLE VOICE INC,0 VARIOUS,
PUBLIC POLICY CONSULTING,WILKINS CAROL,2309 GRANT ST,
PSYCHOTHERAPY,MARK & BARBARA SULLIVAN PSYCHOTHERAPY INC,2811 COLLEGE Ave,
PSYCHOTHERAPY,LAURA KAINIK LICENSED MARRIAGE FAMILY THERAPIST,919 THE ALAMEDA,
RESTAURANT,TIGERLILY,1513 SHATTUCK Ave,
MASSAGE SERVICE,DA VINCI MASSAGE,2106 ASHBY Ave,
ROOFING CONTRACTOR,FRONTLINE ROOFING INC,0 VARIOUS,
INDUSTRIAL DESIGN,SCHOUTEN INNOVATION,2414 DOWLING PL,
WOOD WORKING,BERKELEY MILLS,2830 SEVENTH ST,
GENERAL CONSTRUCTION,ALPHA RESTORATION & WATERPROOFING,0 VARIOUS,
GENERAL CONTRACTOR,NETZERO BUILDERS INC,0 VARIOUS,
"RES. 8 UNITS, 4 OOCC",QUINTERO ROSA,2919 HILLEGASS AVE,
COMMERCIAL RENTAL,TARVER CARMEL,1481 SHATTUCK AVE,
TASER SALES/DIST,AXON ENTERPRISE INC,0 VARIOUS,
RENTAL PROPERTY,EDGAR HERNANDEZ,938 CAMELIA ST,
RENTAL PROPERTY,HUANG HARRY H & LI-HUANG REBECCA,2020 PRINCE St,
CONCERT PRESENTER,KOMBOS COLLECTIVE,1305 BERKELEY Way,
RES. RENTAL - 5 UNITS,BERKELEYS EDGE PROPERTIES LLC,2443 WOOLSEY St,
ARCHITECTURAL,GARCIA & MYODO DESIGN,2219 ROOSEVELT AVE,
ARCHITECTURAL DESIGN SVC,PYATOK ARCHITECTS INC,0 VARIOUS,
RENTAL PROPERTY/5 UNITS,NGUYEN MICHELLE/SON TODD,1911 TENTH ST,
RES. RENTAL - 3 UNITS,LIEDERMAN LARA & PETER,2438 RUSSELL ST,
PSYCHOTHERAPY - VIDEOCONFERENCE & PHONE,JACK S COUSINEAU LMFT,1425 OREGON St,
GENERAL CONSTRUCTION,DM CONSTRUCTION,0 VARIOUS,
GENERAL CONTR,C A DUFFY CONSTRUCTION,0 VARIOUS,
MENTAL HEALTHY COUNSELING,THRIVEWORKS CLINICAL,2020 MILVIA St,
VEHICLE SERVICE/REPAIR,CAPPO MANAGEMENT LVI LLC,1060 HARRISON St,
RES. RENTAL - 4 UNITS,CHOW JACK S & MICHELE,1820 ACTON ST,
CULTURAL RESOURCE BUSINESS CONSULTING,CHRONICLE HERITAGE,1919 ADDISON St,
RESTAURANT,WIKIWIKI HAWAIIAN BBQ,2417 SHATTUCK AVE,
OFFICE EQUIPMENT,JJ OFFICE EQUIPMENT,1823 UNIVERSITY AVE,
RES. RENTAL-1 UNIT (U1),VINCENT & GERST LLC,2777 NINTH St,
BUILDING ENERGY & WATER ASSESSMENT,THE R GROUP LLC,0 VARIOUS,
GENERAL CONTRACTOR,GECMS INC,0 VARIOUS,
RES. RENTAL - 5 UNITS,LAU HUMPHREY,1115 ADDISON ST,
FIRE ALARM CONTRACTOR,UNITED SYSTEMS FIRE & SECURITY,0 VARIOUS,
CONSTRUCTION,TWO TON CONSTRUCTION,0 VARIOUS,
RES RENTAL - 18 UNITS,1856 SPRUCE LLC,1856 SPRUCE St,
SELF STORAGE FACILITY,EXTRA SPACE STORAGE #1371,600 CEDAR ST,
SPECIALTY CONTRACTOR,ISEC,0 VARIOUS,
HVAC CONTRACTOR,I C REFRIGERATION SERVICE INC,0 VARIOUS,
RENTAL PROPERTY - 1 UNIT,MOMTCHEV STANISLAV & KALOYANOVA ELENA,2710 DURANT Ave,
ORGANIZE PERFORMANCES,SAHARA EVENTS,0 VARIOUS,
REMOTE ADMIN ASSISTANCE,"SIMPLE, HELPFUL & EFFICIENT VIRTUAL ASSISTANT SERVICES",2627 CALIFORNIA St,
SECURITY INSTALL/SERVICE,CHECKPOINT SYSTEMS INC,0 VARIOUS,
RES. RENTAL - 8 UNITS,GEE RICHARD & MAY,1811 ADDISON ST,
LAW FIRM,JONES HALL A PROFESSIONAL CRP,0 VARIOUS,
CONSTRUCTION,BAY CIRCLE CONSTRUCTION INC,0 VARIOUS,
CONSULTING SERVICES,CORRINA HUI LLC,0 VARIOUS,
RES. RENTAL-4 UNITS (U1),JOHNS MARY & STUART (TE),2323 PARKER ST,
PRODUCE DELIVERY,VINCENT PRODUCE,0 VARIOUS,
LANDSCAPING BUSINESS,AS GOOD AS GOLD LANDSCAPING,1616 HOPKINS St,
ELECTRICAL CONTRACTOR,WILLIAMS ELECTRICAL SYSTEMS INC,0 VARIOUS,
ELECTRONIC PARTS,"AVNET, INC",0 VARIOUS,
RES. RENTAL - 4 UNITS,REAL LIFE PROPERTIES,1215 CARRISON ST,
RES. RENTAL - 8 UNITS,KIPMONTE LLC,2683 MABEL St,
RES. RENTAL - 5 UNITS,63BERKELEY LLC,1813 SIXTY-THIRD St,
RES. SFR BOARDING (U1),NCR PROPERTIES LLC,2524 DWIGHT Way,
RENTAL PROPERTY 4 UNITS,YU ZI HOU/STEVEN,2342 CALIFORNIA ST,
RES. RENTAL-4 UNITS (U1),YEARWOOD FAMILY TRUST,1212 NEILSON ST,
GENERAL CONSTRUCTION,DRAMS CONSTRUCTION INC,0 VARIOUS,
GENERAL CONTRACTOR,BRUCE TEEL ASSOCIATES,0 VARIOUS,
ACHITECTURAL PLANNING,ARCHITECTURAL RESOURCES GROUP,0 VARIOUS,
LANDSCAPING,MATT HORN LANDSCAPING & TREE CARE,1937 DELAWARE St,
THEATER PROP SHOP,ACME SCENERY COMPANY INC,2451 FIFTH St,
R&D THERAPEUTICS,"IRIS MEDICINE, INC.",0 VARIOUS,
MEDITATION TEACHER,ADI SHAKTI HEALING,1611 SAN PABLO Ave,
STREET ARTIST,SIMPLY SALMA'S TREASURES,0 VARIOUS,
CRANE HOISTING,WEST COAST CRANES,0 VARIOUS,
UTILITY TREE SERVICES,MOUNTAIN F ENTERPRISES INC,0 VARIOUS,
CONTRACTOR,KAUFMAN CONSTRUCTION INC,0 VARIOUS,
BUSINESS CONSULTING,CHAMBERS RICHARD L,962 EUCLID AVE,
GENERAL CONTRACTOR,RYZ ELECTRICAL,0 VARIOUS,
WEATHERIZATION INSTALL,ECM HOLDING GROUP INC,0 VARIOUS,
NATURAL RESOURCE CONSULT,GREEN VALUE,1508 VIRGINIA St,
RES. RENTAL-2 UNITS (U1),SANCHEZ ZARRIN,1808 M L KING JR Way,
RENTAL PROPERTY - 4 UNITS,DASARI RAJ V,1823 BLAKE St,
PAIN MANAGEMENT CLINIC,COMFORT CLINIC,2999 REGENT St,
RUG CLEANING & REPAIR,ROSE ORIENTAL RUGS,2998 COLLEGE Ave,
INTERNET SERVICE PROVIDER,ISP INDUSTRIES LLC,0 VARIOUS,
ENVIRONMENTAL CONSULTING,WRA INC,0 VARIOUS,
COMMERCIAL RENTAL,IRELAND GARY,2832 SAN PABLO AVE,
MAINTENANCE & GARDENING,ERICA GARDENS AND PRODUCE,2434 HILLSIDE Ave,
COMMERCIAL RENTAL,GREENBERG PAUL,2226 SAN PABLO AVE,
CONSTRUCTION AND LANDSCAPE,YARD CREATIONS LANDSCAPE SERVICES INC,0 VARIOUS,
EVALUATION SERVICES,CASTLE SINICROPE,1425 MILVIA St,
DENISTRY,BERKELEY DENTAL GROUP,3000 COLBY St,
COMMERCIAL RENTAL,AGUA DULCE COMPANIA LLC,2839 SAN PABLO AVE,
SITE DEMO/GRADING/LANDSCAPE,TECHCON,0 VARIOUS,
RENTAL PROPERTY 7  UNITS,SERKES IRA & CAROL,1816 CARLETON ST,
PUBLISHING HOUSE,TRANSIT BOOKS,1250 ADDISON St,
RES. RENTAL 10 UNITS,NOYES W & ALICE TRS & KIRSCHNER E,2172 BLAKE ST,
RES. RENTAL - 12 UNITS,BENEVOLENT TRUST,3100 COLLEGE AVE,
RESIDENTIAL RENTAL,MAR/HUANG FAMILY TRUST,2703 RIDGE RD,
PSYCHOTHERAPY,LOCKHART SYBIL,2315 PRINCE St,
FESTIVAL-BRAZILIAN MUSIC,BERKELEY FESTIVAL OF CHORO,0 VARIOUS,
HAIR SALON,BARBERELLA BEAUTY LOUNGE,1757 SOLANO Ave,
HAIR SALON,WORLD CUTS,2440 BANCROFT WAY,
RES. RENTAL - 3 UNITS,"WOLTERBEEK, SYLVIA M ETAL",2520 ETNA ST,
ARCHITECTURAL DESIGNER,WATSON MARLENE,0 VARIOUS,
RENTAL PROPERTY,ESLAMI A ALI,2434 PROSPECT St,
GEN CONTRACTOR-REMODEL,MATT COSTA CONSTRUCTION,0 VARIOUS,
SUSHI FOOD,DU 13 INC,2521 DURANT Ave,
ELECTRICAL CONTRACTOR,CHAVARRIA'S ELECTRIC INC,0 VARIOUS,
DESIGN CONSULTING,HELFAND GARY,2729 GRANT St,
RENTAL PROPERTY 4 UNITS,AGHAMIR S & RAZAZAN T,3145 COLLEGE AVE,
RENTAL PROPERTY-15 UNITS,CHEW ANDREW & LILLIE,2229 MCGEE AVE,
ADMIN/MANAGEMENT SVC,GREEN TILE GROUP LLC,2913 SHATTUCK Ave,
COMMERCIAL RENTAL PROP,MATOSSIAN JOSEPH,1887 SOLANO AVE,
CLEANING SERVICES,THE POWER WASH BROS,0 VARIOUS,
SOFTWARE DEVELOPMENT,TYPICAL SET LLC,2180 DWIGHT Way,
NON-PROFIT BUSINESS SVCS,SCULATI CHRISTINE,858 PERALTA AVE,
ARCHITECTURE CONSULTING,ACCENT ARCHITECTURE & DESIGN,2040 HEARST AVE,
CHURCH - RENTAL UNITS,BERKELEY METHODIST UNITED CHURCH,1710 CARLETON St,
GENERAL CONTR,NEWELL CONSTRUCTION INC,0 VARIOUS,
COMMERCIAL RENTAL,GORDON JOHN & MITCHELL JANIS,2375 SHATTUCK AVE,
CLEAN OFFICES,HILDA REYES JANITORIAL SERVICES,0 VARIOUS,
FISHERIES CONSULTANT,SHUTES CHRIS,1608 FRANCISCO St,
ACUPUNCTURIST,WHITMER DAVID MD,724 GILMAN ST,
PHARMACY,GARFIELD BEACH CVS LLC #10121,2655 TELEGRAPH AVE,
PRODUCING/SELLING NUT BUTTER,SINCERE FARM,2428 SHATTUCK Ave,
CONVENIENCE STORE,JOHNSTON'S MARKET,2515 DURANT AVE,
PROPERTY MANAGEMENT,VINDIUM REAL ESTATE INC,2125 DURANT Ave,
SOFTWARE,KRONOS INC,0 VARIOUS,
ROTARY CLUB,BERKELEY ROTARY CLUB,0 VARIOUS,
RESTAURANT,CHIPOTLE MEXICAN GRILL #231,1050 GILMAN ST,
CIVIL ENGINEERING,BFP ENGINEERS INC,1317 ALBINA Ave,
"PASTA, SAUCES, PASTIRES",THE PHOENIX PASTIFICIO GROUP,1301 CALIFORNIA St,
THEATRE/CHARITABLE & ED,BERKELEY REPERTORY THEATRE,2025 ADDISON ST,
RES. RENTAL - 4 UNITS,"MAZUR VIVIAN, TRUST",2124 ROOSEVELT AVE,
RENTAL PROPERTY (2 UNITS),GYALTSEN SONAM/TASHI KALSANG,2134 CURTIS ST,
RENTAL PROPERTY,HB STRATEGY II LLC,837 FOLGER Ave,
POLICY RESEARCH,MAPLIGHT,2223 SHATTUCK AVE,
BIOTECH RESEARCH,NV THERAPEUTICS INC,2625 DURANT Ave,
RES. RENTAL-4 UNITS,ST FRANCIS PROPERTIES LLC,2125 CEDAR St,
FULL SERVICE RESTAURANT,PIZZERIA DA LAURA LLC,2049 SHATTUCK Ave,
ADMIN HQ - DATA STORAGE,ALTINITY INC,2001 ADDISON St,
GENERAL CONTRACTOR,PAUL MELISH BUILDER,0 VARIOUS,
RESTUARANT,ALIBERTO'S JR FRESH MEXICAN FOOD,2996 TELEGRAPH Ave,
GENERAL CONTRACTOR,SCHWARCK JEFF GENERAL CONTRACT,0 VARIOUS,
GENERAL CONTRACTOR,DOLD CONSTRUCTION,0 VARIOUS,
HVAC TEST AND BALANCE,CARTER AIR BALANCE CO,0 VARIOUS,
FINISH CARPENTRY,HOUSE CO CONSTRUCTION,0 VARIOUS,
RENTAL UNITS  (4),MERRITT OLIVER,1819 NINTH ST,
LAW FIRM,COBALT LLP,1912 BONITA Ave,
RENTAL PROPERTY 4 UNITS,JOSEPH PALLIVATHUCAL TRUST,2701 PRINCE St,
RES. RENTAL - 14 UNITS,"PAPAHADJOPOULOS, ALEXIS",2200 DWIGHT WAY,
CONSTRUCTION,MILLER PANELING SPECIALTIES,0 VARIOUS,
FULL SERVICE RESTAURANT,LAO GARDEN L.L.C.,2514 SAN PABLO Ave,
ELECTRICAL CONTRACTOR,HOT LINE CONSTRUCTION INC,0 VARIOUS,
GOVERNEMENT SOFTWARE SVCS,ACCELA INC,0 VARIOUS,
TWO DIMENSIONAL ARTWORK,SAMETEAM.US,1314 HARMON St,
DENTAL PRACTICE,PRIYADARSINI OCALLAGHAN DDS,2999 REGENT ST,
MARKETING & MANAGEMENT,PLAN EXPERIENTIAL INC,2550 NINTH St,
REAL ESTATE HOLDING & MANAGEMENT,SC3 PROPERTIES LLC,0 VARIOUS,
"CHILD CARE, PRESCHOOL",BENVENUE CHILDREN'S HOUSE INC,3027 BENVENUE Ave,
HVAC INSTALL,SAN JOSE HEATING AND COOLING,0 VARIOUS,
1 COMM - 2 RES. (U1),KANG B/KANG JEONG/KANG PHILLIP,1821 UNIVERSITY AVE,
BIOTECH COMPANY,IZOTE BIOSCIENCES INC,0 VARIOUS,
REAL ESTATE RENTAL,FYS INVESTMENT LLC,2915 WHEELER St,
ENERGY CONSULTING,VERDANT ASSOCIATES LLC,1972 LOS ANGELES Ave,
RES. RENTAL - 8 UNITS,MASURET SUZANNE,2807 SHATTUCK AVE,
FLOORING CONTRACTOR,FIRST LAST & ALWAYS,0 VARIOUS,
RENTAL PROPERTY 3 UNITS,CHOW RUTGERS,2215 BLAKE St,
LANDSCAPING CONTRACTOR,LANDFORMS,1409 FOURTH ST,
CONSTRUCTION,SHAWMUT WOODWORKING & SUPPLY INC,0 VARIOUS,
RENTAL PROPERTY 6 UNITS,YOUNG WING P & SO F & LOP C,3112 DEAKIN ST,
ELECTRICAL CONTRACTOR,POWERHOUSE RETAIL SERVICES,0 VARIOUS,
HAZ. WASTE MGMT,VEOLIA ES TECHNICAL SOLUTIONS,0 VARIOUS,
PSYCHOTHERAPY,HARASEMOVITCH JEANNE C,448 KENTUCKY Ave,
RES. RENTAL - 3 UNITS,HOGE EMILY & WATKINS THOMAS,2436 TENTH ST,
RES. RENTAL - 11 UNITS,BARTLETT E/HOGHOOGHI D,2519 COLLEGE AVE,
GENERAL CONTRACTOR,LARSEN BUILDERS INC,0 VARIOUS,
ELECTRIC CONTRACTOR,VENKAT ELECTRIC,0 VARIOUS,
ARCHITECTURE OFFICE,OLCZAK FORSYTHE INC,3310 ADELINE St,
RENTAL PROPERTY - 2 UNITS,MOMTCHEV STANISLAV & KALOYANOVA ELENA,1731 LA LOMA Ave,
MASSAGE THERAPY,WAN XIAO YUAN,1935 ASHBY Ave,
RES. RENTAL - 38 UNITS,GONG ROBERT Y & CHRISTINE O,1737 SOLANO AVE,
INSTALL AUTOMATED METER READ SYS,REALPAGE INSTALLATION SOLUTIONS,0 VARIOUS,
RENTAL PROPERTY,NANAK FOUNDATION TRUST,1743 RUSSELL St,
GENERAL CONTRACTING,RAXE CONSTRUCTION INC,0 VARIOUS,
RES. RENTAL - 5 UNITS,ARK7 PROPERTIES LLC,2314 BONAR St,
NAIL AND HAIR,STYLE NAILS & HAIR,1261 UNIVERSITY Ave,
BIOTECHNLOGY R & D,PERLUMI CHEMICALS INC,0 VARIOUS,
RES. RENTAL - 3 UNITS,NIU WEIGUANG,1717 ARCH St,
MECH ENGINEERING CONSULT,SUNDIAL ENGINEERING,3073 BATEMAN ST,
BOOKKEEPING,BONNIE MALICKI,1417 HEARST AVE,
PLUMBING CONTRACTOR,DISCOUNT PLUMBING INC,0 VARIOUS,
"RAISE, LEVEL, SHORE HOMES",SOLARES HOUSE MOVERS INC,0 VARIOUS,
REAL RENTAL PROPERTY,BOUHEDDA NADIR,2830 SACRAMENTO ST,
APARTMENT RENTALS,STERLING BERKELEY JEFFERSON LLC,1631 UNIVERSITY Ave,
GENERAL CONTRACTOR,PRIMEWORK CONSTRUCTION INC,0 VARIOUS,
VEGAN DESSERTS,MARKOVIC MARINKO,2324 Fifth St,
TELECOMM CONTRACTOR,MASTEC NORTH AMERICA INC,0 VARIOUS,
PHOTOGRAPHIC SURFACE DSN,SURFACEHAUS,1549 OREGON St,
COMMERCIAL RENTAL,DANA PARTNERSHIP,2702 DANA ST,
ELECTRICAL CONTRACTOR,ALTA ELECTRIC LLC,0 VARIOUS,
"HVAC, PLUMBING SEWER SVC",ALBERT NAHMAN PLUMBING HEATING AND COOLING,3333 M L KING JR Way,
RES. RENTAL - 6 UNITS,LEVINSON APARTMENTS,2552 LE CONTE AVE,
PROVIDING STRATEGIC POLICY AND ADVOCAY SERVICES ON WESTERN WATER POLICY ISSUES,WESTERN WATER STRATEGIES,2500 ACTON St,
RENTAL PROPERTY-3 UNITS,PATES REGINALD G,1400 HARMON ST,
TELECOM PROVIDER,AIRESPRING INC,0 VARIOUS,
GENERAL CONTRACTOR,B SIDE INC,0 VARIOUS,
TELECOM PROVIDER,AMERICAN MESSAGING SERVICES LLC,0 VARIOUS,
PLUMBING SERVICES,VALLE AND GARRY PLUMBING INC,0 VARIOUS,
DOCUMENTARY FILMMAKER,A MOMENT IN TIME PRODUCTIONS,1463 CURTIS St,
INDOOR/OUTDOOR JANITORIAL SERVICE PROVIDER,PERALTA SERVICE CORPORATION,0 VARIOUS,
CONSULTING SERVICES,PATHLINE CONSULTING,2637 WOOLSEY St,
FOUNDATION REINFORCEMENT,JIACHENG HOME IMPROVEMENTS,0 VARIOUS,
MANAGMENT CONSULTING,THE HUMAN LINK,760 CRAGMONT AVE,
PLUMBING CONTRACTOR,RITE ROOTER PLUMBING,0 VARIOUS,
COMMERCIAL RENTAL,BUTLER FAMILY ADMINISTRATIVE,2905 SHATTUCK AVE,
MOBILE PHLEBOTOMIST,BAY AREA PL SERVICES,3101 TELEGRAPH Ave,
CONSTRUCTION CONTRACTOR,T.C. STEEL,0 VARIOUS,
CONSULTING,ROSEN CONSULTING GROUP LLC,1995 UNIVERSITY AVE,
RES. RENTAL - 5 UNITS,CHOW JACK S & MICHELE,1608 DELAWARE ST,
INTERIOR CONTRACTOR,KEENAN HOPKINS SUDER & STOWELL CONTRACTORS INC,0 VARIOUS,
ELECTRICAL CONTRACTOR,CIRTA ELECTRIC,0 VARIOUS,
BATHROOM REMODEL,AVILA'S CONSTRUCTION,0 VARIOUS,
FRENCH BAKERY & CAFE,LAVENDER BAKERY & CAFE,1820 SOLANO Ave,
ELECTRICAL CONTRACTOR,MIGHETTO ELECTRIC,0 VARIOUS,
RENTAL PROPERTY/12 UNITS,OPPENHEIMER 1530 LLC,1930 CURTIS ST,
MEDICAL OFFICE,SOPHIA N MIRVISS MD INC,3000 COLBY St,
PLUMBING,WELLBORN PLUMBING,0 VARIOUS,
REAL ESTATE,MEGAN MICCO INCORPORATED,1730 SPRUCE St,
SOFTWARE DEVELOPER,TYPOBRAND LLC,1794 FIFTH ST,
ROOFING COMPANY,TITANIUM ROOF INNOVATION INC,0 VARIOUS,
RENTAL PROPERTY,SABETIMANI ZIA & FARI,2343 DWIGHT WAY,
GENERAL CONTRACTOR,LENIHAN BUILDERS,2970 OTIS St,
INTERIOR DESIGN,HARVEY CLARK DESIGN,1004 CRAGMONT AVE,
RENTAL PROPERTY UNITS 4,OPSAHL HANS,2927 LORINA ST,
GENERAL CONTRACTOR,CHRISP COMPANY,0 VARIOUS,
ARCHITECTURAL DESIGN SVC,EVONN BALCZIUNAS DESIGN,3134 MABEL St,
"CAFE, COFFEE SHOP",SIGNAL COFFEE ROASTERS LLC,1707 SOLANO Ave,
TECHNOLOGY STARTUP- DESIGNING MOBILE SENSOR ROBOTS,SQUISHY ROBOTICS INC,2150 SHATTUCK Ave,
PSYCHOTHERAPY MFT,FAIR NAOMI,2020 MILVIA St,
2-WAY RADIO,VISION COMMUNICATIONS CO,0 VARIOUS,
AMAZON SELLER ONLINE THROUGH FBA,NOOR & CO,2110 KITTREDGE St,
FINANCIAL PLANNING,TPO FINANCIAL & INSURANCE SERVICES,821 DELAWARE St,
GENERAL CONTRACTOR,BASELINE BUILDER,0 VARIOUS,
MENTAL HEALTH ADVOCACY,MENTAL HEALTH ASSOCIATION OF ALAMEDA COUNTY,2855 TELEGRAPH Ave,
PLUMBING & HVAC CONTRACTOR,JW MCCLENAHAN CO INC,0 VARIOUS,
GENERAL CONTRACTOR,PACIFIC CONTRACTING LLC,0 VARIOUS,
TRAINING TREATMENT AND RESEARCH IN THERAPY,VISION WALKERS COLLECTIVE INC,830 BANCROFT Way,
RENTAL PROPERTY/4 UNITS,SOLIS JESUS,1219 PARKER ST,
ARCHITECTURAL DESIGN SVC,CARI DESIGNS ARCHTECTURE INC,800 BANCROFT Way,
COMMERCIAL RENTAL,THE MARK AT BERKELEY LLC,2580 BANCROFT Way,
STREET ARTIST,BENT POTTERY,0 VARIOUS,
LANDSCAPING,INDIAN ROCK LANDSCAPES,0 VARIOUS,
MANUFACTURE BAKED GOODS,BAKE SUM LLC,1615 UNIVERSITY Ave,
PSYCHOTHERAPY,ALEK JEZIOREK PSYCHOTHERAPY,2340 WARD St,
ENGINE & GENERATOR PARTS,CUMMINS INC,0 VARIOUS,
COMMERCIAL RENTAL STORE,HENRY D WEISS TRUST,1888 SOLANO AVE,
SKIN CARE,AMBIANCE WAXING & FACIAL SALON,2437 ASHBY Ave,
ARCHITECTURE FIRM,FISCHER ARCHITECTURE,915 PARDEE ST,
BAKERY/TAQUERIA,CACTUS TAQUERIA-SOLANO,1881 SOLANO AVE,
ROOMING HOUSE,UNIVERSITY STUDENTS' COOP,2420 RIDGE RD,
CONCRETE CONTRACTOR,DOLAN CONCRETE CONSTRUCTION,0 VARIOUS,
DRY CLEANERS,SAMS DRY CLEANERS,1784 SHATTUCK AVE,
MAIL BOXES ETC.,BERKELEY MAIL ROOM,2124 KITTREDGE ST,
