APN,RecordID,BusDesc,B1_PER_SUB_TYPE,DBA,NAICS,Tax_Code,Employee_Num,Bus_Own_Type,B1_BUSINESS_NAME,B1_ADDRESS1,B1_ADDRESS2,B1_CITY,B1_STATE,B1_ZIP,B1_CONTACT_TYPE,B1_FULL_ADDRESS,B1_SITUS_CITY,B1_SITUS_STATE,B1_SITUS_ZIP,Business_Location
056 197502800,BL-015756,RENTAL PROPERTY 4 UNITS,Rental of Real Property,NASSERI FAMILY TRUST,531110 - Lessors of Residential Buildings and Dwellings,L,0,Sole Ownership,NASSERI FAMILY TRUST,299 PARAISO DR,,DANVILLE,CA,945264953,Business Owner,2217 NINTH St,BERKELEY,CA,94710,
052 144801500,BL-019973,PSYCHOTHERAPY PRACTICE FROM HOME OFFICE VIA VIDEO AND PHONE. NO IN-PERSON MEETINGS.,Professional SemiProfessional,REA MICAH,621330 - Offices of Mental Health Practitioners (except Physicians),P,0,Sole Ownership,REA MICAH,1269 ALCATRAZ AVE APT B,,BERKELEY,CA,94702-2641,Business Owner,1269 ALCATRAZ Ave,BERKELEY,CA,94702,
059 227701500,BL-047219,PUBLIC RELATIONS,Professional SemiProfessional,POUNCE PR,541820 - Public Relations Agencies,P,0,Sole Ownership,POUNCE PR,1715 JAYNES ST,,BERKELEY,CA,94703,Business Owner,1720 ADDISON ST,BERKELEY,CA,94703,
ZZZZZZZZZZZZZ,BL-022068,GENERAL CONTRACTOR,Construction or Contractor,AUGUST CONSTRUCTION SOLUTIONS INC,236220 - Commercial and Institutional Building Construction,C,1,Corporation,AUGUST CONSTRUCTION SOLUTIONS INC,707 N WEST ST STE 101,,RALEIGH,NC,27603,Business Owner,0 VARIOUS,BERKELEY,CA,94704,
053 158901801,BL-026920,CONSULTANT,Professional SemiProfessional,ACKERMAN SARAH,624190 - Other Individual and Family Services,P,0,Sole Ownership,ACKERMAN SARAH,2955 SHATTUCK AVE,,BERKELEY,CA,94705,Business Owner,2955 SHATTUCK AVE,BERKELEY,CA,94705,
060 246502200,BL-052190,ENGINEERING CONSULTING,Professional SemiProfessional,LOAR RONALD J P.E.,541330 - Engineering Services,P,1,Sole Ownership,LOAR RONALD J P.E.,2315 ROSE ST,,BERKELEY,CA,94708-1807,Business Owner,2315 ROSE ST,BERKELEY,CA,94708,
055 183201301,BL-050096,RESIDENTIAL RENTAL,Rental of Real Property,REDSTONE PACIFIC INC,531110 - Lessors of Residential Buildings and Dwellings,L,1,Corporation,REDSTONE PACIFIC INC,2709 DWIGHT WAY APT 1,,BERKELEY,CA,94704-3133,Business Owner,2315 PARKER ST,BERKELEY,CA,94704,
ZZZZZZZZZZZZZ,BL-041955,TAXI - VEHICLE FOR HIRE,Auto Vehicle For Hire,CHECKER CAB,485310 - Taxi Service,A,1,Sole Ownership,CHECKER CAB,2016 BLAKE ST APT 3,,BERKELEY,CA,94704-2621,Business Owner,0 VARIOUS,BERKELEY,CA,94704,
057 201600700,BL-031345,RES. RENTAL - 4 UNITS,Rental of Real Property,DOSICK DANIEL/GOLDBERG PATRICIA,531110 - Lessors of Residential Buildings and Dwellings,L,0,Sole Ownership,DOSICK DANIEL/GOLDBERG PATRICIA,1833 ADDISON ST,,BERKELEY,CA,94703,Business Owner,1833 ADDISON ST,BERKELEY,CA,94703,
ZZZZZZZZZZZZZ,BL-043648,ELECTRICAL CONTRACTOR,Construction or Contractor,ALLEY ELECTRIC,238210 - Electrical Contractors and Other Wiring Installation Contractors,C,2,Partnership,ALLEY ELECTRIC,"3883 TURQUOISE WAY, APT 1808",,OAKLAND,CA,94609,Business Owner,0 VARIOUS,BERKELEY,CA,94704,
055 190203300,BL-004615,RES. RENTAL - 3 UNITS,Rental of Real Property,FONG JACK,531110 - Lessors of Residential Buildings and Dwellings,L,0,Sole Ownership,FONG JACK,16566 ROLANDO AVE,,SAN LEANDRO,CA,94578,Business Owner,2405 MCKINLEY AVE,BERKELEY,CA,94703,
061 261402400,BL-004378,THAI RESTAURANT,Retail Trade,SWEET BASIL THAI,722511 - Full-Service Restaurants,R,8,LLC,SWEET BASIL THAI,1736 SOLANO AVE,,BERKELEY,CA,94707-2215,Business Owner,1736 SOLANO Ave,BERKELEY,CA,94707,
060 245505000,BL-045484,RENTAL PROPERTY,Rental of Real Property,KAE PROPERTIES LLC,531110 - Lessors of Residential Buildings and Dwellings,L,0,LLC,KAE PROPERTIES LLC,1335 SHATTUCK AVE,,BERKELEY,CA,94709,Business Owner,1335 SHATTUCK AVE,BERKELEY,CA,94709,
ZZZZZZZZZZZZZ,BL-017128,ERRCS DESIGN & INSTALL,Business Personal Repair Svs,BOBCOMM INC.,811213 - Communication Equipment Repair and Maintenance,B,14,Corporation,BOBCOMM INC.,5653 STONERIDGE DR STE 109,,PLEASANTON,CA,945888560,Business Owner,0 VARIOUS,BERKELEY,CA,94704,
ZZZZZZZZZZZZZ,BL-016323,ROOFING CONTRACTOR,Construction or Contractor,ALL N' ALL ROOFING,238160 - Roofing Contractors,C,2,Sole Ownership,ALL N' ALL ROOFING,77 SOLANO SQ # 293,,BENICIA,CA,94510-2712,Business Owner,0 VARIOUS,BERKELEY,CA,94704,
ZZZZZZZZZZZZZ,BL-021019,CONSTRUCTION - REMODEL,Construction or Contractor,CABRILLO CONSTRUCTION,236118 - Residential Remodelers,C,0,LLC,CABRILLO CONSTRUCTION,3051 VESUVIUS LN,,SAN JOSE,CA,95132-2354,Business Owner,0 VARIOUS,BERKELEY,CA,94704,
ZZZZZZZZZZZZZ,BL-006699,GENERAL CONTRACTOR,Construction or Contractor,L P CONSTRUCTION CO INC,236118 - Residential Remodelers,C,7,Corporation,L P CONSTRUCTION CO INC,360 SWIFT AVE STE 1,,S SAN FRAN,CA,940806220,Business Owner,0 VARIOUS,BERKELEY,CA,94704,
055 189401500,BL-009481,RENTAL (U1),Rental of Real Property,2028 BANCROFT WAY LLC,531110 - Lessors of Residential Buildings and Dwellings,L,2,LLC,2028 BANCROFT WAY LLC,2855 TELEGRAPH AVE STE 310,,BERKELEY,CA,94705-1129,Business Owner,2028 BANCROFT Way,BERKELEY,CA,94704,
ZZZZZZZZZZZZZ,BL-010962,PLUMBING,Construction or Contractor,RAZO PLUMBING,"238220 - Plumbing, Heating, and Air-Conditioning Contractors",C,2,Sole Ownership,RAZO PLUMBING,109 DAISY CT,,HERCULES,CA,94547-1205,Business Owner,0 VARIOUS,BERKELEY,CA,94704,
ZZZZZZZZZZZZZ,BL-022359,GENERAL CONTRACTOR,Construction or Contractor,FOUR DIMENSION BUILDERS INC,236115 - New Single-Family Housing Construction (except For-Sale Builders),C,1,Corporation,FOUR DIMENSION BUILDERS INC,1345 N MONROE ST,,STOCKTON,CA,95203,Business Owner,0 VARIOUS,BERKELEY,CA,94704,
ZZZZZZZZZZZZZ,BL-019223,TELECOM PROVIDER,Business Personal Repair Svs,MINT MOBILE,813910 - Business Associations,B,0,LLC,MINT MOBILE,3575 PIEDMONT RD NE BLDG 15-1550,,ATLANTA,GA,303051632,Business Owner,0 VARIOUS,BERKELEY,CA,94704,
064 423500501,BL-012916,PERSONAL TRAINING,Entertainment Recreation,JONATHAN INGERSOLL FITNESS,713940 - Fitness and Recreational Sports Centers,E,1,Sole Ownership,JONATHAN INGERSOLL FITNESS,1220 BLAKE STREET,,BERKELEY,CA,94702,Business Owner,2041 Bancroft Way,BERKELEY,CA,94704,
ZZZZZZZZZZZZZ,BL-020407,RESIDENTIAL SOLAR CONTRACTOR,Construction or Contractor,SKYLINE SMART ENERGY,238210 - Electrical Contractors and Other Wiring Installation Contractors,C,4,LLC,SKYLINE SMART ENERGY,10642 DOWNEY AVE STE 205,,DOWNEY,CA,90241-3442,Business Owner,0 VARIOUS,BERKELEY,CA,94704,
057 205104900,BL-016944,PSYCHOTHERAPY SERVICES,Professional SemiProfessional,"RENEE TALMON, PSY.D., CLINICAL PSYCHOLOGIST, PC","621340 - Offices of Physical, Occupational and Speech Therapists, and Audiologists",P,1,Corporation,"RENEE TALMON, PSY.D., CLINICAL PSYCHOLOGIST, PC",2000 HEARST AVE STE 204,,BERKELEY,CA,947092260,Business Owner,2000 HEARST Ave,BERKELEY,CA,94709,
057 211500900,BL-007254,COMMERCIAL RENTAL,Rental of Real Property,4TH STREET HOLDINGS LLC,531120 - Lessors of Nonresidential Buildings (except Miniwarehouses),L,0,LLC,4TH STREET HOLDINGS LLC,5 3RD ST STE 1225,,SAN FRANCISCO,CA,94103-3228,Business Owner,1795 FOURTH St,BERKELEY,CA,94710,
060 240502000,BL-015031,AUTO REPAIR & TIRE SHOP,Business Personal Repair Svs,YEN'S AUTO SERVICES,811111 - General Automotive Repair,B,3,Corporation,YEN'S AUTO SERVICES,1299 SAN PABLO AVE,,BERKELEY,CA,947062217,Business Owner,1299 SAN PABLO Ave,BERKELEY,CA,94706,
ZZZZZZZZZZZZZ,BL-019614,ELECTRICAL,Construction or Contractor,COPPER MOUNTAIN ELECTRIC,238210 - Electrical Contractors and Other Wiring Installation Contractors,C,1,Corporation,COPPER MOUNTAIN ELECTRIC,PO BOX 3662,,ANTIOCH,CA,94531-3662,Business Owner,0 VARIOUS,BERKELEY,CA,94704,
060 244701600,BL-004662,RESTAURANT,Retail Trade,FATAPPLE'S INC,722110,R,7,Corporation,FATAPPLE'S INC,1346 M L KING JR WAY,,BERKELEY,CA,94709,Business Owner,1346 M L KING JR WAY,BERKELEY,CA,94709,
ZZZZZZZZZZZZZ,BL-021480,RESIDENTIAL CONSTRUCTION,Construction or Contractor,LAND DESIGN BUILD INC,236115 - New Single-Family Housing Construction (except For-Sale Builders),C,2,Corporation,LAND DESIGN BUILD INC,1525 MCCARTHY BLVD STE 1003,,MILPITAS,CA,95035-7451,Business Owner,0 VARIOUS,BERKELEY,CA,94704,
058 213700900,BL-046910,RES. RENTAL - 4 UNITS,Rental of Real Property,SCHMIER KENNETH & ERIC,531110 - Lessors of Residential Buildings and Dwellings,L,4,Sole Ownership,SCHMIER KENNETH & ERIC,1475 Powell Street,,Emeryville,CA,94941,Business Owner,1323 VIRGINIA ST,BERKELEY,CA,94702,
057 203400600,BL-006457,CONVENTION PROMOTIONS,Entertainment Recreation,NEWMAN MARC,"711310 - Promoters of Performing Arts, Sports, and Similar Events with Facilities",E,0,Sole Ownership,NEWMAN MARC,2039 SHATTUCK AVE STE 307,,BERKELEY,CA,94704,Business Owner,2039 SHATTUCK Ave,BERKELEY,CA,94704,
055 184900500,BL-031675,RES. RENTAL - 4 UNITS,Rental of Real Property,HAKAM MOHAMMAD,531110 - Lessors of Residential Buildings and Dwellings,L,1,Sole Ownership,HAKAM MOHAMMAD,P O BOX 464,,BERKELEY,CA,94701,Business Owner,2600 PIEDMONT AVE,BERKELEY,CA,94704,
055 190602300,BL-017512,RENTAL PROPERTY,Rental of Real Property,CHIA WENG SENG,531110 - Lessors of Residential Buildings and Dwellings,L,0,Sole Ownership,CHIA WENG SENG,1369 EL CAMINO REAL,,MILLBRAE,CA,94030-1410,Business Owner,2439 ROOSEVELT Ave,BERKELEY,CA,94703,
052 157700200,BL-013978,GROCERY STORE,Grocer,WHOLE FOODS MARKET CALIFORNIA,445110 - Supermarkets and Other Grocery (except Convenience) Stores,G,138,Corporation,WHOLE FOODS MARKET CALIFORNIA,PO BOX 684786,,AUSTIN,TX,78768,Business Owner,3000 TELEGRAPH AVE,BERKELEY,CA,94705,
ZZZZZZZZZZZZZ,BL-008598,PROVIDE MODULAR OFFICE,Business Personal Repair Svs,PACIFIC MOBILE STRUCTURES INC,561790 - Other Services to Buildings and Dwellings,B,29,Corporation,PACIFIC MOBILE STRUCTURES INC,1554 BISHOP RD,,CHEHALIS,WA,985328710,Business Owner,0 VARIOUS,BERKELEY,CA,94704,
ZZZZZZZZZZZZZ,BL-008710,ELECTRICAL & SOLAR,Construction or Contractor,SUN SOLAR ELECTRIC INC,238210 - Electrical Contractors and Other Wiring Installation Contractors,C,4,Corporation,SUN SOLAR ELECTRIC INC,1364 N MCDOWELL BLVD,,PETALUMA,CA,94954,Business Owner,0 VARIOUS,BERKELEY,CA,94704,
054 180701700,BL-008540,RES. RENTAL - 6 UNITS,Rental of Real Property,BLAKE STREET PROPERTIES LLC,531110 - Lessors of Residential Buildings and Dwellings,L,0,LLC,BLAKE STREET PROPERTIES LLC,6400 MORAGA AVE STE 4,,OAKLAND,CA,94611,Business Owner,1711 BLAKE St,BERKELEY,CA,94703,
055 188700500,BL-013910,DENTIST,Professional SemiProfessional,WHITE JAMES THORPE DDS,621320 - Offices of Optometrists,P,0,Sole Ownership,WHITE JAMES THORPE DDS,2235 CHANNING WAY,,BERKELEY,CA,94704,Business Owner,2235 CHANNING WAY,BERKELEY,CA,94704,
ZZZZZZZZZZZZZ,BL-021867,"TELECOM CONSTRUCTION, FULFILLMENT, PM",Construction or Contractor,FIOPTIX INC,237130 - Power and Communication Line and Related Structures Construction,C,0,Corporation,FIOPTIX INC,251 LITTLE FALLS DR,,WILMINGTON,DE,19808,Business Owner,0 VARIOUS,BERKELEY,CA,94704,
062 291101800,BL-051015,ARTIST & PHOTOGRAPHER,Entertainment Recreation,DAVIS HAROLD,"711510 - Independent Artists, Writers, and Performers",E,0,Sole Ownership,DAVIS HAROLD,632 SAN FERNANDO AVE,,BERKELEY,CA,947071650,Business Owner,632 SAN FERNANDO AVE,BERKELEY,CA,94707,
052 152101100,BL-039762,RENTAL PROPERTY-8 UNITS,Rental of Real Property,MANMOHAN D & SMITH CYNTHIA,531110 - Lessors of Residential Buildings and Dwellings,L,0,Sole Ownership,MANMOHAN D & SMITH CYNTHIA,5652 DREYER PL,,OAKLAND,CA,94619,Business Owner,1623 ALCATRAZ AVE,BERKELEY,CA,94703,
054 177800300,BL-000460,RENTAL PROPERTY,Rental of Real Property,BEC ASSOCIATES - SUITE ONE,531120 - Lessors of Nonresidential Buildings (except Miniwarehouses),L,1,Sole Ownership,BEC ASSOCIATES - SUITE ONE,61 PEMBERTON ST APT 2,,CAMBRIDGE,MA,02140-1906,Business Owner,2512 NINTH St,BERKELEY,CA,94710,
ZZZZZZZZZZZZZ,BL-021670,SEWER & DRAINS,Construction or Contractor,BETTER ROOTER INC,237110 - Water and Sewer Line and Related Structures Construction,C,4,Corporation,BETTER ROOTER INC,1525 TUSKEGEE CT,,DIXON,CA,95620,Business Owner,0 VARIOUS,BERKELEY,CA,94704,
058 217300203,BL-035788,PSYCHOTHERAPY,Professional SemiProfessional,GINA HASSAN PHD,621330 - Offices of Mental Health Practitioners (except Physicians),P,0,Sole Ownership,GINA HASSAN PHD,548 SANTA BARBARA RD,,BERKELEY,CA,94707,Business Owner,1600 SHATTUCK AVE,BERKELEY,CA,94709,
061 258203802,BL-010250,ENVIRONMENTAL CONSULTING,Professional SemiProfessional,JENNIFER KREBS ENVIRONMENTAL PLANNING,541620 - Environmental Consulting Services,P,1,Sole Ownership,JENNIFER KREBS ENVIRONMENTAL PLANNING,878 SPRUCE ST,,BERKELEY,CA,947072043,Business Owner,878 SPRUCE St,BERKELEY,CA,94707,
055 189400301,BL-007382,PSYCHOTHERAPY PRACTICE,Professional SemiProfessional,KENDRA DUNLAP LMFT,621330 - Offices of Mental Health Practitioners (except Physicians),P,1,Sole Ownership,KENDRA DUNLAP LMFT,2029 DURANT AVE # B204,,BERKELEY,CA,947041564,Business Owner,2029 DURANT Ave,BERKELEY,CA,94704,
ZZZZZZZZZZZZZ,BL-018362,GOV CONSULTING,Professional SemiProfessional,JUSTICE BENEFITS INC,541611 - Administrative Management and General Management Consulting Services,P,0,Partnership,JUSTICE BENEFITS INC,1711 E BELT LINE RD,,COPPELL,TX,75019-9606,Business Owner,0 VARIOUS,BERKELEY,CA,94704,
056 194403500,BL-038702,ARTIST,Professional SemiProfessional,DATER JUDY,541430 - Graphic Design Services,P,0,Sole Ownership,DATER JUDY,2430 FIFTH ST STE J,,BERKELEY,CA,94710,Business Owner,2430 FIFTH ST,BERKELEY,CA,94710,
052 157406401,BL-013132,DOCTORS OFFICE,Professional SemiProfessional,BASS MEDICAL GROUP,621111 - Offices of Physicians (except Mental Health Specialists),P,12,Corporation,BASS MEDICAL GROUP,2637 SHADELANDS DR,,WALNUT CREEK,CA,94598,Business Owner,2510 WEBSTER St,BERKELEY,CA,94705,
064 423501210,BL-028127,PSYCHOLOGIST,Professional SemiProfessional,SEIDER KEN PHD,621330 - Offices of Mental Health Practitioners (except Physicians),P,2,Sole Ownership,SEIDER KEN PHD,2920 DOMINGO AVE #201,,BERKELEY,CA,94705,Business Owner,2920 DOMINGO AVE,BERKELEY,CA,94705,
053 160800700,BL-032700,RENTAL PROPERTY/ 3 UNITS,Rental of Real Property,DAVIS PERCY & RUBY,531110 - Lessors of Residential Buildings and Dwellings,L,0,,DAVIS PERCY & RUBY,1647 ASHBY AVE,,BERKELEY,CA,94703,Business Owner,1647 ASHBY AVE,BERKELEY,CA,94703,
052 152601404,BL-047566,MONTESSORI SCHOOL,Professional SemiProfessional,AMERICAN INTL MONTESSORI INC,611110 - Elementary and Secondary Schools,P,30,Corporation,AMERICAN INTL MONTESSORI INC,3339 M L KING JR WAY,,BERKELEY,CA,94703-2720,Business Owner,3339 M L KING JR WAY,BERKELEY,CA,94703,
ZZZZZZZZZZZZZ,BL-016181,COMPUTER PROG SVCS,Construction or Contractor,SALIENT GLOBAL TECHNOLOGIES,238990 - All Other Specialty Trade Contractors,C,3,Corporation,SALIENT GLOBAL TECHNOLOGIES,510 GARCIA AVE STE E,,PITTSBURG,CA,94565-7405,Business Owner,0 VARIOUS,BERKELEY,CA,94704,
056 197601700,BL-007272,COMMERCIAL RENTAL,Rental of Real Property,MANN PHILLIP V,531120 - Lessors of Nonresidential Buildings (except Miniwarehouses),L,9,Sole Ownership,MANN PHILLIP V,1070 PARKVIEW AVE,,PASADENA,CA,911032356,Business Owner,2246 SAN PABLO Ave,BERKELEY,CA,94702,
060 243402500,BL-023065,RETAIL MARKET,Grocer,MONTEREY FISH MARKET,445220 - Fish and Seafood Markets,G,8,Corporation,MONTEREY FISH MARKET,350 BAY ST STE 100-359,,SAN FRANCISCO,CA,941331966,Business Owner,1582 HOPKINS ST,BERKELEY,CA,94707,
057 211500101,BL-007253,COMMERCIAL RENTAL,Rental of Real Property,4TH STREET HOLDINGS LLC,531120 - Lessors of Nonresidential Buildings (except Miniwarehouses),L,0,LLC,4TH STREET HOLDINGS LLC,5 3RD ST STE 1225,,SAN FRANCISCO,CA,94103-3228,Business Owner,1700 FIFTH St,BERKELEY,CA,94710,
056 194402400,BL-011024,PSYCHOLOGICAL EVALS,Professional SemiProfessional,BAY AREA CENTER FOR IMMIGRATION EVALUATIONS,541199 - All Other Legal Services,P,0,Sole Ownership,BAY AREA CENTER FOR IMMIGRATION EVALUATIONS,2421 4TH ST,,BERKELEY,CA,94710-2430,Business Owner,2421 FOURTH St,BERKELEY,CA,94710,
057 207200600,BL-009762,THAI RESTAURANT,Retail Trade,BKK THAI CUISINE,722511 - Full-Service Restaurants,R,10,Corporation,BKK THAI CUISINE,1459 UNIVERSITY AVE,,BERKELEY,CA,94702-1508,Business Owner,1459 UNIVERSITY Ave,BERKELEY,CA,94702,
055 183000100,BL-042463,RES. RENTAL - 3 UNITS,Rental of Real Property,DIN IMAM U,531110 - Lessors of Residential Buildings and Dwellings,L,4,Sole Ownership,DIN IMAM U,760 LA PALOMA RD,,EL SOBRANTE,CA,94803 173,Business Owner,2248 DWIGHT WAY,BERKELEY,CA,94704,
057 202501600,BL-034790,BEAUTY SALON,Business Personal Repair Svs,L A N BEAUTY SALON,611511 - Cosmetology and Barber Schools,B,1,Sole Ownership,L A N BEAUTY SALON,2048 UNIVERSITY AVE,,BERKELEY,CA,94704-1006,Business Owner,2048 UNIVERSITY AVE,BERKELEY,CA,94704,
052 153901800,BL-020109,"DOMESTIC SERVICE RECRUITMENT - PRIVATE CHEFS,ESTATE MANAGERS, NANNIES (100% REMOTE BUSINESS)",Business Personal Repair Svs,SORENSEN STAFFING LLC,561311 - Employment Placement Agencies,B,1,LLC,SORENSEN STAFFING LLC,1412 66TH ST,,BERKELEY,CA,94702-2703,Business Owner,1412 SIXTY-SIXTH St,BERKELEY,CA,94702,
ZZZZZZZZZZZZZ,BL-054001,TELECOMMUNICATIONS PROVIDER,Business Personal Repair Svs,ZAYO GROUP LLC,517110 - Wired Telecommunications Carriers,B,0,LLC,ZAYO GROUP LLC,1550 LATIMER ST,,LONGWOOD,FL,80202,Business Owner,0 VARIOUS,BERKELEY,CA,94704,
ZZZZZZZZZZZZZ,BL-021613,SELL MIDDLE EASTERN FOOD/DRINK,Retail Trade,KIZER RAND,722330 - Mobile Food Services,R,0,Sole Ownership,KIZER RAND,1285 ALVARADO RD,,BERKELEY,CA,94705-1545,Business Owner,0 VARIOUS,BERKELEY,CA,94704,
058 218701300,BL-007270,RES. RENTAL - 7 UNITS,Rental of Real Property,KORMAN DAVID,531110 - Lessors of Residential Buildings and Dwellings,L,0,Sole Ownership,KORMAN DAVID,2377 VIRGINIA ST,,BERKELEY,CA,94709,Business Owner,2377 VIRGINIA ST,BERKELEY,CA,94709,
063 311010201,BL-035495,ROOMING HOUSE,Rental of Real Property,LELAND LENA,531110 - Lessors of Residential Buildings and Dwellings,L,0,Sole Ownership,LELAND LENA,610 WOODMONT AVE,,BERKELEY,CA,94708,Business Owner,610 WOODMONT AVE,BERKELEY,CA,94708,
ZZZZZZZZZZZZZ,BL-016536,CONCRETE AND ASPHALT RESTORATION,Construction or Contractor,A L B INC,238110 - Poured Concrete Foundation and Structure Contractors,C,5,Corporation,A L B INC,552 W 10TH ST,,PITTSBURG,CA,945651802,Business Owner,0 VARIOUS,BERKELEY,CA,94704,
057 202202000,BL-036851,DAY TREATMENT PROGRAM,Non Profit Organizations,OPTIONS RECOVERY SERVICES,624190 - Other Individual and Family Services,N,20,Corporation,OPTIONS RECOVERY SERVICES,1931 CENTER STREET,,BERKELEY,CA,94704,Business Owner,1931 CENTER ST,BERKELEY,CA,94704,
ZZZZZZZZZZZZZ,BL-042967,GENERAL CONTRACTOR,Construction or Contractor,MCCOY INSULATION,236115 - New Single-Family Housing Construction (except For-Sale Builders),C,4,Sole Ownership,MCCOY INSULATION,1936 101ST AVE,,OAKLAND,CA,94603,Business Owner,0 VARIOUS,BERKELEY,CA,94704,
062 286900500,BL-053615,GENERAL CONTRACTOR,Construction or Contractor,GRANT CONSTRUCTION,236115 - New Single-Family Housing Construction (except For-Sale Builders),C,1,Sole Ownership,GRANT CONSTRUCTION,720 PERALTA AVE,,BERKELEY,CA,94707,Business Owner,720 PERALTA AVE,BERKELEY,CA,94707,
055 189801601,BL-009266,RES. RENTAL - 22 UNITS,Rental of Real Property,2489 MLK LLC,531110 - Lessors of Residential Buildings and Dwellings,L,0,LLC,2489 MLK LLC,2105 MARTIN LUTHER KING JR WAY FL 2,,BERKELEY,CA,94704-1108,Business Owner,1901 DWIGHT Way,BERKELEY,CA,94704,
ZZZZZZZZZZZZZ,BL-017606,FLOOR COVERING INSTALL,Construction or Contractor,COX FLOOR COVERING INC,238330 - Flooring Contractors,C,1,Corporation,COX FLOOR COVERING INC,1124 WILLOW PASS CT,,CONCORD,CA,94520-1006,Business Owner,0 VARIOUS,BERKELEY,CA,94704,
057 209802200,BL-020406,GRAPHIC DESIGN STUDIO,Professional SemiProfessional,STORYTK LLC,541430 - Graphic Design Services,P,2,LLC,STORYTK LLC,687 OLD JONAS HILL RD,,LAFAYETTE,CA,94549-5213,Business Owner,819 DELAWARE St,BERKELEY,CA,94710,
ZZZZZZZZZZZZZ,BL-021502,ELECTRICAL CONTRACTOR,Construction or Contractor,JP ELECTRIC,238210 - Electrical Contractors and Other Wiring Installation Contractors,C,0,Sole Ownership,JP ELECTRIC,1508 SAN PABLO AVE,,PINOLE,CA,94564-2452,Business Owner,0 VARIOUS,BERKELEY,CA,94704,
056 199804700,BL-038252,EDUCATION OF ART,Non Profit Organizations,ART BETWEEN US INC,541720 - Research and Development in the Social Sciences and Humanities,N,0,Corporation,ART BETWEEN US INC,PO BOX 162,,BERKELEY,CA,94701,Business Owner,2215 ACTON ST,BERKELEY,CA,94702,
057 210200501,BL-051209,CLOTHING USED,Retail Trade,EMERALD CITY GOWNS,453310 - Used Merchandise Stores,R,4,Corporation,EMERALD CITY GOWNS,1411 SAN PABLO AVE,,BERKELEY,CA,947021023,Business Owner,1822 FOURTH ST,BERKELEY,CA,94710,
ZZZZZZZZZZZZZ,BL-019341,ELECTRICAL CONTRACTOR,Construction or Contractor,BEN HERNANDEZ ELECTRICAL INC,238210 - Electrical Contractors and Other Wiring Installation Contractors,C,3,Corporation,BEN HERNANDEZ ELECTRICAL INC,7921 DORADO CANYON RD,,SOMERSET,CA,95684-9377,Business Owner,0 VARIOUS,BERKELEY,CA,94704,
ZZZZZZZZZZZZZ,BL-030902,GENERAL CONTRACTOR,Construction or Contractor,CERNY ROMAN,236115 - New Single-Family Housing Construction (except For-Sale Builders),C,0,Sole Ownership,CERNY ROMAN,1535 BERKELEY WAY,,BERKELEY,CA,94703,Business Owner,0 VARIOUS,BERKELEY,CA,94704,
059 233801603,BL-051687,COMMERCIAL RENTAL,Rental of Real Property,DATHE ROBERT & CARLOTTA,531312 - Nonresidential Property Managers,L,0,Sole Ownership,DATHE ROBERT & CARLOTTA,685 LOS PALOS DRIVE,,LAFAYETTE,CA,94549,Business Owner,1417 FOURTH ST,BERKELEY,CA,94710,
060 235100106,BL-042995,PUBLIC RELATIONS,Professional SemiProfessional,DADASCOPE COMMUNICATIONS,541820 - Public Relations Agencies,P,2,Corporation,DADASCOPE COMMUNICATIONS,777 HILLDALE AVE,,BERKELEY,CA,94708,Business Owner,950 GILMAN St,BERKELEY,CA,94710,
052 156701900,BL-009372,COMMERCIAL RENTAL,Rental of Real Property,GORDON JOHN & MITHCELL J TRUST,531120 - Lessors of Nonresidential Buildings (except Miniwarehouses),L,2,Sole Ownership,GORDON JOHN & MITHCELL J TRUST,2091 ROSE ST,,BERKELEY,CA,94709-1963,Business Owner,2941 COLLEGE Ave,BERKELEY,CA,94705,
ZZZZZZZZZZZZZ,BL-020670,"ENGINEERING, SURVEYING, LANDSCAPE ARCHITECTURE",Professional SemiProfessional,WESTWOOD PROFESSIONAL SERVICES INC,541330 - Engineering Services,P,1,Corporation,WESTWOOD PROFESSIONAL SERVICES INC,2805 DALLAS PKWY STE 150,,PLANO,TX,750938727,Business Owner,0 VARIOUS,BERKELEY,CA,94704,
055 189800501,BL-002323,RENTAL APARTMENTS,Rental of Real Property,K & N ESTATE LLC,531110 - Lessors of Residential Buildings and Dwellings,L,1,LLC,K & N ESTATE LLC,2171 ALLSTON WAY,,BERKELEY,CA,94704,Business Owner,2450 MILVIA St,BERKELEY,CA,94704,
ZZZZZZZZZZZZZ,BL-020952,PLASTER,Construction or Contractor,RICK RUTHERFORD PLASTERING INC,238310 - Drywall and Insulation Contractors,C,1,Corporation,RICK RUTHERFORD PLASTERING INC,3323 YOSEMITE AVE,,EL CERRITO,CA,94530-3589,Business Owner,0 VARIOUS,BERKELEY,CA,94704,
058 213902400,BL-026592,COMPUTER CONSULTING,Business Personal Repair Svs,KATO BRYAN,519130 - Internet Publishing and Broadcasting and Web Search Portals,B,1,Sole Ownership,KATO BRYAN,15 VIRGINIA GARDENS,,BERKELEY,CA,94702,Business Owner,15 VIRGINIA GARDENS,BERKELEY,CA,94702,
053 168600400,BL-033083,RES. RENTAL - 4 UNITS,Rental of Real Property,LORD BRADFORD/STEIBER BARBARA,531110 - Lessors of Residential Buildings and Dwellings,L,0,Sole Ownership,LORD BRADFORD/STEIBER BARBARA,2836 FULTON ST,,BERKELEY,CA,94705,Business Owner,2838 FULTON ST,BERKELEY,CA,94705,
